TestMSE: 9.948601722717285, TrainMSE: 2.9381113052368164
TestMSE: 9.812126159667969, TrainMSE: 2.895021915435791
TestMSE: 9.67926025390625, TrainMSE: 2.8531172275543213
TestMSE: 9.549897193908691, TrainMSE: 2.8123629093170166
TestMSE: 6521.29931640625, TrainMSE: 11032.818359375
TestMSE: 36384.265625, TrainMSE: 4187.08203125
TestMSE: 90314.5, TrainMSE: 610.3118286132812
TestMSE: 109789.671875, TrainMSE: 271.89703369140625
TestMSE: 90238.7421875, TrainMSE: 625.7622680664062
TestMSE: 110081.6328125, TrainMSE: 259.18707275390625
TestMSE: 89935.1875, TrainMSE: 638.7608032226562
TestMSE: 110398.8125, TrainMSE: 247.54708862304688
TestMSE: 89646.609375, TrainMSE: 651.2862548828125
TestMSE: 110701.8046875, TrainMSE: 237.15240478515625
TestMSE: 89374.125, TrainMSE: 663.3434448242188
TestMSE: 110988.6640625, TrainMSE: 227.8787841796875
TestMSE: 89117.140625, TrainMSE: 674.8912963867188
TestMSE: 111261.7265625, TrainMSE: 219.55482482910156
TestMSE: 88873.640625, TrainMSE: 685.9447631835938
TestMSE: 111520.828125, TrainMSE: 212.073486328125
TestMSE: 88644.421875, TrainMSE: 696.4429931640625
TestMSE: 111768.40625, TrainMSE: 205.30335998535156
TestMSE: 88427.3046875, TrainMSE: 706.4329223632812
TestMSE: 112002.5, TrainMSE: 199.1956787109375
TestMSE: 88221.4375, TrainMSE: 715.9235229492188
TestMSE: 112225.5625, TrainMSE: 193.64498901367188
TestMSE: 88026.703125, TrainMSE: 724.9078369140625
TestMSE: 112437.7578125, TrainMSE: 188.59222412109375
TestMSE: 17.04543685913086, TrainMSE: 4.399539947509766
TestMSE: 16.211679458618164, TrainMSE: 4.148910045623779
TestMSE: 15.472368240356445, TrainMSE: 3.915411949157715
TestMSE: 14.8164701461792, TrainMSE: 3.710179567337036
TestMSE: 14.234347343444824, TrainMSE: 3.53021240234375
TestMSE: 13.717218399047852, TrainMSE: 3.372375965118408
TestMSE: 13.257186889648438, TrainMSE: 3.2338719367980957
TestMSE: 12.847517967224121, TrainMSE: 3.1122984886169434
TestMSE: 12.482210159301758, TrainMSE: 3.0055501461029053
TestMSE: 12.155938148498535, TrainMSE: 2.9117352962493896
TestMSE: 11.864054679870605, TrainMSE: 2.829240322113037
TestMSE: 11.602478981018066, TrainMSE: 2.756622552871704
TestMSE: 11.367712020874023, TrainMSE: 2.692667245864868
TestMSE: 11.15650749206543, TrainMSE: 2.6362547874450684
TestMSE: 10.966154098510742, TrainMSE: 2.58644962310791
TestMSE: 10.794147491455078, TrainMSE: 2.5423977375030518
TestMSE: 10.638394355773926, TrainMSE: 2.5033817291259766
TestMSE: 10.49695110321045, TrainMSE: 2.468740701675415
TestMSE: 10.368216514587402, TrainMSE: 2.4379422664642334
TestMSE: 10.250717163085938, TrainMSE: 2.4104902744293213
TestMSE: 10.143106460571289, TrainMSE: 2.3859410285949707
TestMSE: 10.044319152832031, TrainMSE: 2.3639347553253174
TestMSE: 9.9533052444458, TrainMSE: 2.3441433906555176
TestMSE: 9.869165420532227, TrainMSE: 2.326270341873169
TestMSE: 9.791211128234863, TrainMSE: 2.3100874423980713
TestMSE: 9.718709945678711, TrainMSE: 2.295366048812866
TestMSE: 9.651054382324219, TrainMSE: 2.2819175720214844
TestMSE: 9.587756156921387, TrainMSE: 2.2695860862731934
TestMSE: 9.528277397155762, TrainMSE: 2.2582123279571533
TestMSE: 9.47225284576416, TrainMSE: 2.247680425643921
TestMSE: 9.4192476272583, TrainMSE: 2.2378666400909424
TestMSE: 9.368977546691895, TrainMSE: 2.2286858558654785
TestMSE: 9.321151733398438, TrainMSE: 2.2200522422790527
TestMSE: 9.2755126953125, TrainMSE: 2.2118914127349854
TestMSE: 9.231832504272461, TrainMSE: 2.204141855239868
TestMSE: 9.18992805480957, TrainMSE: 2.196751832962036
TestMSE: 9.149616241455078, TrainMSE: 2.1896729469299316
TestMSE: 9.110771179199219, TrainMSE: 2.1828699111938477
TestMSE: 9.073204040527344, TrainMSE: 2.1762969493865967
TestMSE: 9.03680419921875, TrainMSE: 2.1699254512786865
TestMSE: 9.001426696777344, TrainMSE: 2.163719892501831
TestMSE: 8.967055320739746, TrainMSE: 2.15767502784729
TestMSE: 8.933524131774902, TrainMSE: 2.15175461769104
TestMSE: 87.31366729736328, TrainMSE: 36.018310546875
TestMSE: 80.75406646728516, TrainMSE: 33.0121955871582
TestMSE: 76.81211853027344, TrainMSE: 30.942672729492188
TestMSE: 74.36691284179688, TrainMSE: 29.51238250732422
TestMSE: 72.67192077636719, TrainMSE: 28.465560913085938
TestMSE: 71.35591125488281, TrainMSE: 27.655906677246094
TestMSE: 70.23480224609375, TrainMSE: 26.997440338134766
TestMSE: 69.21705627441406, TrainMSE: 26.438350677490234
TestMSE: 68.25718688964844, TrainMSE: 25.94622802734375
TestMSE: 67.3327407836914, TrainMSE: 25.50063133239746
TestMSE: 66.43229675292969, TrainMSE: 25.088050842285156
TestMSE: 65.54991149902344, TrainMSE: 24.699426651000977
TestMSE: 64.68302917480469, TrainMSE: 24.32895278930664
TestMSE: 63.82971954345703, TrainMSE: 23.972240447998047
TestMSE: 62.98946762084961, TrainMSE: 23.62675666809082
TestMSE: 62.161678314208984, TrainMSE: 23.290334701538086
TestMSE: 61.346282958984375, TrainMSE: 22.961719512939453
TestMSE: 60.542213439941406, TrainMSE: 22.63968276977539
TestMSE: 59.75023651123047, TrainMSE: 22.323881149291992
TestMSE: 58.969425201416016, TrainMSE: 22.013507843017578
TestMSE: 58.19997024536133, TrainMSE: 21.70827865600586
TestMSE: 57.44157028198242, TrainMSE: 21.40797233581543
TestMSE: 56.69417190551758, TrainMSE: 21.11238670349121
TestMSE: 55.957916259765625, TrainMSE: 20.821361541748047
TestMSE: 55.23204040527344, TrainMSE: 20.53468132019043
TestMSE: 54.51658248901367, TrainMSE: 20.252227783203125
TestMSE: 53.81138610839844, TrainMSE: 19.973892211914062
TestMSE: 53.11666488647461, TrainMSE: 19.69975471496582
TestMSE: 52.4317626953125, TrainMSE: 19.42955207824707
TestMSE: 51.756683349609375, TrainMSE: 19.163299560546875
TestMSE: 51.09162521362305, TrainMSE: 18.90094566345215
TestMSE: 50.43598175048828, TrainMSE: 18.642318725585938
TestMSE: 49.78989791870117, TrainMSE: 18.387493133544922
TestMSE: 49.15298080444336, TrainMSE: 18.136363983154297
TestMSE: 48.52556228637695, TrainMSE: 17.888851165771484
TestMSE: 47.90702438354492, TrainMSE: 17.644973754882812
TestMSE: 47.297576904296875, TrainMSE: 17.40464973449707
TestMSE: 46.69675827026367, TrainMSE: 17.16774559020996
TestMSE: 46.104652404785156, TrainMSE: 16.934288024902344
TestMSE: 45.521263122558594, TrainMSE: 16.70429039001465
TestMSE: 431.90386962890625, TrainMSE: 115.6780014038086
TestMSE: 220.70228576660156, TrainMSE: 64.14883422851562
TestMSE: 117.66773986816406, TrainMSE: 37.85899353027344
TestMSE: 66.57232666015625, TrainMSE: 24.018592834472656
